,Term,Concept_Type,Seminatic_type
0,arterial,Arteries,"Body Part, Organ, or Organ Component"
1,duodenal,Duodenum,"Body Part, Organ, or Organ Component"
2,pancreatic,Pancreas,"Body Part, Organ, or Organ Component"
3,main,Hand,"Body Part, Organ, or Organ Component"
4,duct,Duct (organ) structure,"Body Part, Organ, or Organ Component"
5,organ,Organ,"Body Part, Organ, or Organ Component"
6,gallbladder,Gallbladder,"Body Part, Organ, or Organ Component"
7,radial,Structure of radial artery,"Body Part, Organ, or Organ Component"
8,bowel,Intestines,"Body Part, Organ, or Organ Component"
9,tail,Tail,"Body Part, Organ, or Organ Component"
10,liver,Liver,"Body Part, Organ, or Organ Component"
11,body,Structure of body of caudate nucleus,"Body Part, Organ, or Organ Component"
12,spleen,Spleen,"Body Part, Organ, or Organ Component"
13,vein,Veins,"Body Part, Organ, or Organ Component"
14,duodenum,Duodenum,"Body Part, Organ, or Organ Component"
15,carotid,Carotid Arteries,"Body Part, Organ, or Organ Component"
16,throat,Pharyngeal structure,"Body Part, Organ, or Organ Component"
17,artery,Arteries,"Body Part, Organ, or Organ Component"
