,Term,Concept_Type,Seminatic_type
0,ondansetron,ondansetron,Organic Chemical
1,fluconazole,fluconazole,Organic Chemical
2,tacrolimus,tacrolimus,Organic Chemical
3,morphine,morphine,Organic Chemical
4,pantoprazole,pantoprazole,Organic Chemical
5,azathioprine,azathioprine,Organic Chemical
6,guaiac,guaiac,Organic Chemical
7,prednisone,prednisone,Organic Chemical
8,rifaximin,rifaximin,Organic Chemical
9,valganciclovir,valganciclovir,Organic Chemical
10,lactulose,lactulose,Organic Chemical
11,pregabalin,CI 1008,Organic Chemical
12,oxycodone,oxycodone,Organic Chemical
13,zofran,Zofran,Organic Chemical
14,cb,cinobufotalin,Organic Chemical
15,today,Today,Organic Chemical
16,spironolactone,spironolactone,Organic Chemical
17,heroin,heroin,Organic Chemical
18,rise,risedronate,Organic Chemical
19,clotrimazole,clotrimazole,Organic Chemical
20,docusate,docusate,Organic Chemical
21,tartrate,Tartrates,Organic Chemical
22,dilaudid,Dilaudid,Organic Chemical
23,cc,cholecalciferol,Organic Chemical
24,marijuana,Marihuana,Organic Chemical
