,Term,Concept_Type,Seminatic_type
0,itch,Pruritus,Sign or Symptom
1,cough,Coughing,Sign or Symptom
2,fatigue,Fatigue,Sign or Symptom
3,symptom,Symptoms,Sign or Symptom
4,jaundice,Icterus,Sign or Symptom
5,rhinorrhea,Rhinorrhea,Sign or Symptom
6,asterixis,Asterixis,Sign or Symptom
7,nausea,Nausea,Sign or Symptom
8,constipation,Constipation,Sign or Symptom
9,hematemesis,Hematemesis,Sign or Symptom
10,chill,Chills,Sign or Symptom
11,emesis,Vomiting,Sign or Symptom
12,headache,Headache,Sign or Symptom
13,fever,Fever,Sign or Symptom
14,pruritis,Pruritus,Sign or Symptom
15,dysuria,Dysuria,Sign or Symptom
