Seminatic_type,,Term,Concept_Type
Activity,211,check,Checking (action)
Age Group,240,child,Child
"Amino Acid, Peptide, or Protein",161,alk,anaplastic lymphoma kinase
"Amino Acid, Peptide, or Protein",219,glargine,insulin glargine
"Amino Acid, Peptide, or Protein",250,insulin,Insulin
"Amino Acid, Peptide, or Protein",278,albumin,Albumins
"Amino Acid, Peptide, or Protein",319,humalog,Humalog
Biologically Active Substance,224,sodium,sodium
Biologically Active Substance,342,magnesium,magnesium
Biomedical Occupation or Discipline,113,surgery,Surgery specialty
Biomedical or Dental Material,307,baseline,BaseLine dental cement
Body Location or Region,93,abdominal,Abdomen
Body Location or Region,106,hepatic,Hepatic
Body Location or Region,141,ankle,Ankle
Body Location or Region,142,dos,Back
Body Location or Region,182,neck,Neck
Body Location or Region,194,portal,Hepatic
Body Location or Region,204,bil,Buttocks
Body Location or Region,215,head,Head
Body Location or Region,333,abd,Abdomen
"Body Part, Organ, or Organ Component",28,arterial,Arteries
"Body Part, Organ, or Organ Component",42,duodenal,Duodenum
"Body Part, Organ, or Organ Component",48,pancreatic,Pancreas
"Body Part, Organ, or Organ Component",72,main,Hand
"Body Part, Organ, or Organ Component",111,duct,Duct (organ) structure
"Body Part, Organ, or Organ Component",125,organ,Organ
"Body Part, Organ, or Organ Component",146,gallbladder,Gallbladder
"Body Part, Organ, or Organ Component",155,radial,Structure of radial artery
"Body Part, Organ, or Organ Component",176,bowel,Intestines
"Body Part, Organ, or Organ Component",195,tail,Tail
"Body Part, Organ, or Organ Component",257,liver,Liver
"Body Part, Organ, or Organ Component",259,body,Structure of body of caudate nucleus
"Body Part, Organ, or Organ Component",296,spleen,Spleen
"Body Part, Organ, or Organ Component",311,vein,Veins
"Body Part, Organ, or Organ Component",312,duodenum,Duodenum
"Body Part, Organ, or Organ Component",318,carotid,Carotid Arteries
"Body Part, Organ, or Organ Component",332,throat,Pharyngeal structure
"Body Part, Organ, or Organ Component",349,artery,Arteries
Body Substance,29,Mucous,Mucous body substance
Body Substance,98,urine,Urine
Body Substance,114,sweat,Sweat
Body Substance,196,breath,Breath
Body Substance,218,blood,Blood
Body Substance,238,fluid,Body Fluids
Body Substance,280,skin,Skin Specimen
Body Substance,331,bile,Bile fluid
Body Substance,366,discharge,Body Fluid Discharge
Cell,267,cell,Cells
Chemical Viewed Structurally,314,gas,Gases
Clinical Attribute,13,undetectable,Undetectable
Clinical Attribute,237,resp,Respiratory rate
Clinical Attribute,289,note,Evaluation and management note:Finding:Point in time:{Setting}:Document:{Provider}
Conceptual Entity,126,variability,Variability
Conceptual Entity,185,output,system output
Daily or Recreational Activity,131,box,Boxing (sports activity)
Daily or Recreational Activity,203,meal,Meal (occasion for eating)
Diagnostic Procedure,89,scan,Radionuclide Imaging
Diagnostic Procedure,122,endoscopy,Endoscopy (procedure)
Diagnostic Procedure,186,biopsy,Biopsy
Diagnostic Procedure,327,ultrasound,Ultrasonography
Disease or Syndrome,8,varix,Varicosity
Disease or Syndrome,12,encephalopathy,Encephalopathies
Disease or Syndrome,45,thyromegaly,Goiter
Disease or Syndrome,92,syndrome,Syndrome
Disease or Syndrome,147,gallstone,Cholelithiasis
Disease or Syndrome,165,bacteremia,Bacteremia
Disease or Syndrome,192,hyperglycemia,Hyperglycemia
Disease or Syndrome,193,zoster,Herpes zoster disease
Disease or Syndrome,205,hematuria,Hematuria
Disease or Syndrome,207,anemia,Anemia
Disease or Syndrome,217,esophageal,Esophageal Diseases
Disease or Syndrome,228,gastritis,Gastritis
Disease or Syndrome,232,pancytopenia,Pancytopenia
Disease or Syndrome,239,ate,Ataxia Telangiectasia
Disease or Syndrome,249,hepatitis,Hepatitis
Disease or Syndrome,270,disease,Disease
Disease or Syndrome,275,cirrhosis,Liver Cirrhosis
Disease or Syndrome,316,hypothyroidism,Hypothyroidism
Disease or Syndrome,335,hematochezia,Hematochezia
Educational Activity,140,instruction,Educational process of instructing
"Element, Ion, or Isotope",255,pt,platinum
Entity,301,product,product
Eukaryote,245,spider,Spiders
Family Group,127,aunt,Aunt
Family Group,253,father,Father (person)
Family Group,309,mother,Mother (person)
Finding,2,unchanged,No status change
Finding,18,likely,Probable diagnosis
Finding,32,ho,History of present illness (finding)
Finding,40,Major,Severe (severity modifier)
Finding,51,severe,Severe (severity modifier)
Finding,59,sharp,Sharp sensation quality
Finding,74,negative,Negative
Finding,81,hypertensive,Hypertensive (finding)
Finding,82,mild,Mild Adverse Event
Finding,94,much,Much
Finding,169,offer,Offered
Finding,212,lesion,Lesion
Finding,233,splenomegaly,Splenomegaly
Finding,248,ambulate,Ambulate
Finding,272,mass,Mass of body structure
Finding,282,smoker,Smoker
Finding,339,post,Fasting
Finding,345,coherent,Coherent
Food,62,med,Honey
Food,150,food,Food
Food,199,butter,Butter
Food,276,pain,Bread
Functional Concept,19,additional,Additional
Functional Concept,25,give,Give - dosing instruction imperative
Functional Concept,27,biliary,Biliary
Functional Concept,37,viral,Viral
Functional Concept,71,interactive,Interaction
Functional Concept,75,available,Availability of
Functional Concept,77,supple,Supple
Functional Concept,99,due,Due to
Functional Concept,134,limit,Limited (extensiveness)
Functional Concept,136,requirement,Requirement
Functional Concept,138,refer,Referring
Functional Concept,167,reaction,Reaction
Functional Concept,188,technique,Techniques
Functional Concept,262,use,utilization qualifier
Functional Concept,323,change,Changing
Functional Concept,328,etiology,Etiology aspects
Functional Concept,343,cause,Etiology aspects
Gene or Genome,317,yo,CDR2 gene
Geographic Area,78,nv,Nevada <Geographic Area>
Geographic Area,124,arm,Armenia
Geographic Area,152,mg,Madagascar
Geographic Area,162,moon,Moon
Geographic Area,168,nl,Netherlands
Geographic Area,175,nd,North Dakota (geographic location)
Geographic Area,229,mL,Mali
Geographic Area,251,cm,Cameroon
Geographic Area,306,state,Geographic state
Geographic Area,329,ml,Mali
Hazardous or Poisonous Substance,351,co,carbon monoxide
Health Care Activity,35,pulse,Pulse taking
Health Care Activity,63,retrieval,Retrieval - action
Health Care Activity,70,examination,Physical Examination
Health Care Activity,181,followup,follow-up
Health Care Activity,221,titrate,Titrate
Health Care Activity,222,monitoring,Preventive monitoring
Health Care Activity,242,admission,Hospital admission
Health Care Related Organization,337,lab,Laboratory
Health Care Related Organization,364,hospital,Hospitals
Human,41,human,Homo sapiens
Human-caused Phenomenon or Process,288,safety,Safety
Idea or Concept,33,consistent,Consistent with
Idea or Concept,49,Clear,Remote control command - Clear
Idea or Concept,96,clear,Remote control command - Clear
Idea or Concept,123,load,Load - Remote control command
Idea or Concept,209,culture,Anthropological Culture
Idea or Concept,225,life,Life
Idea or Concept,261,concern,Concern
Idea or Concept,350,supply,supply aspects
Immunologic Factor,191,antibody,Antibodies
Immunologic Factor,244,allergen,Allergens
Injury or Poisoning,102,overdose,Drug Overdose
Injury or Poisoning,293,excoriation,Excoriation
Intellectual Product,0,summary,summary - ActRelationshipSubset
Intellectual Product,119,script,Script
Intellectual Product,198,report,Report (document)
Intellectual Product,202,index,Indexes
Intellectual Product,254,Name,Name
Intellectual Product,322,protocol,Protocols documentation
Intellectual Product,324,patent,Legal patent
Intellectual Product,340,plan,Map
